ticker,date,open,high,low,close
BTC,9/25/2023,26520.4,26520.4,25994,26278.3
BTC,9/26/2023,26278.3,26392.2,26080.6,26154.2
BTC,9/27/2023,26226.9,26828,26094.3,26260.2
BTC,9/28/2023,26260.6,27296.3,26260.5,27004.5
BTC,9/29/2023,27002.2,27240.3,26664.7,26867
BTC,9/30/2023,26867,27095,26862.4,27004.7
BTC,10/1/2023,27004.7,27289.3,26956.2,27190.2
BTC,10/2/2023,27183.1,28495.5,27158.3,27480.2
BTC,10/3/2023,27480.2,27671.8,27165,27399.8
BTC,10/4/2023,27399.8,27837.2,27213.8,27688.2
BTC,10/5/2023,27687.7,28124.5,27358.6,27457.7
BTC,10/6/2023,27457.4,28289.7,27197.4,28053.9
BTC,10/7/2023,28056.7,28146.2,27858.1,27948.7
BTC,10/8/2023,27948.6,28107.3,27710.7,27934.7
BTC,10/9/2023,27932.8,27999.1,27322.4,27626
BTC,10/10/2023,27627,27737.2,27298.8,27428.7
BTC,10/11/2023,27428.7,27478.8,26532,26720.7
BTC,10/12/2023,26720.7,26938.9,26544.1,26749.4
BTC,10/13/2023,26749.4,27108.5,26679.2,27013.8
BTC,10/14/2023,27012.1,27067.2,26755.2,26819.4
BTC,10/15/2023,26818.4,27233.8,26807.4,27180.7
BTC,10/16/2023,27180.7,30006.6,27038.4,28435
BTC,10/17/2023,28435,28627.8,28081.5,28497.8
BTC,10/18/2023,28490.3,28890.4,28154.4,28276.5
BTC,10/19/2023,28272.6,28921.3,28146.9,28615.2
BTC,10/20/2023,28615.5,30118.1,28592.3,29627.2
BTC,10/21/2023,29627.2,30374.6,29478,29999
BTC,10/22/2023,29999.1,30259.6,29722,29760.1
BTC,10/23/2023,29760.1,31825.8,29724.7,31646.4
BTC,10/24/2023,31646.4,35179.4,31611.4,34138.1
BTC,10/25/2023,34121.6,35128,33691.4,34560.7
BTC,10/26/2023,34560.7,34833.4,33749.3,34114.2
BTC,10/27/2023,34114.2,34284.2,33408,33847.2
BTC,10/28/2023,33847.2,34401.5,33793.9,34195.5
BTC,10/29/2023,34195.8,34748.3,33936.4,34714.6
BTC,10/30/2023,34714.6,34835.5,34133.9,34479.9
BTC,10/31/2023,34480.3,34730.2,34051.6,34573.7
BTC,11/1/2023,34573.7,35599.2,34107.6,35289.3
BTC,11/2/2023,35291.2,35994.6,34332.4,34793.3
BTC,11/3/2023,34793.3,34952.4,34123.1,34641.6
BTC,11/4/2023,34641.6,35204.6,34599,35180.4
BTC,11/5/2023,35177.8,35325.5,34482.8,34998.1
BTC,11/6/2023,34999.4,35375.9,34757.5,35125.6
BTC,11/7/2023,35125.6,35901.3,34535.5,35298.3
BTC,11/8/2023,35298.3,35958.6,35108.8,35791.5
BTC,11/9/2023,35793.6,37984.4,35552.8,36555.6
BTC,11/10/2023,36549.2,37514,36352.6,37376
BTC,11/11/2023,37371.1,37512.4,36729,36901.1
BTC,11/12/2023,36901.2,37239.5,36746.5,37170.9
BTC,11/13/2023,37170.9,37429.3,36341.7,36480.2
BTC,11/14/2023,36482.4,36751.5,34765.8,35613.6
BTC,11/15/2023,35610.1,37893.1,35366.2,37726.6
BTC,11/16/2023,37730.1,37977.4,35513.1,36221.6
BTC,11/17/2023,36225.1,36772,35873.1,36552.4
BTC,11/18/2023,36552.4,36857.6,36210.9,36524.2
BTC,11/19/2023,36523.9,37099.3,36361.8,36996.6
BTC,11/20/2023,36996.6,37764.7,36706.4,37455
BTC,11/21/2023,37454.4,37669.3,36276.4,36390.3
BTC,11/22/2023,36393.1,37872.5,35657.9,37457.3
BTC,11/23/2023,37456,37647.9,36895.8,37310.2
